HFA tag,LC genre/form,Combine with additional LC genre/form,FAST form,Combine with additional FAST form,Getty genre
Non fiction,http://id.loc.gov/authorities/genreForms/gf2011026423,,http://id.worldcat.org/fast/1710269,,http://vocab.getty.edu/aat/300375156
Fiction,http://id.loc.gov/authorities/genreForms/gf2011026250,,http://id.worldcat.org/fast/1710264,,
Fiction feature,http://id.loc.gov/authorities/genreForms/gf2011026250,http://id.loc.gov/authorities/genreForms/gf2011026247,,,
Feature,http://id.loc.gov/authorities/genreForms/gf2011026247,,http://id.worldcat.org/fast/1710384,,
Fiction short,http://id.loc.gov/authorities/genreForms/gf2011026250,http://id.loc.gov/authorities/genreForms/gf2011026570,,,
Nonfiction feature,http://id.loc.gov/authorities/genreForms/gf2011026423,http://id.loc.gov/authorities/genreForms/gf2011026247,http://id.worldcat.org/fast/1710269,http://id.worldcat.org/fast/1710384,
Nonfiction short,http://id.loc.gov/authorities/genreForms/gf2011026423,http://id.loc.gov/authorities/genreForms/gf2011026570,http://id.worldcat.org/fast/1710269,http://id.worldcat.org/fast/1710364,
Animation feature,http://id.loc.gov/authorities/genreForms/gf2011026049,http://id.loc.gov/authorities/genreForms/gf2011026247,http://id.worldcat.org/fast/1726127,http://id.worldcat.org/fast/1710384,
Animation short,http://id.loc.gov/authorities/genreForms/gf2011026049,http://id.loc.gov/authorities/genreForms/gf2011026570,http://id.worldcat.org/fast/1726127,http://id.worldcat.org/fast/1710364,
Experimental feature,http://id.loc.gov/authorities/genreForms/gf2011026235,http://id.loc.gov/authorities/genreForms/gf2011026247,http://id.worldcat.org/fast/1710354,http://id.worldcat.org/fast/1710384,http://vocab.getty.edu/aat/300263845
Experimental short,http://id.loc.gov/authorities/genreForms/gf2011026235,http://id.loc.gov/authorities/genreForms/gf2011026570,http://id.worldcat.org/fast/1710354,http://id.worldcat.org/fast/1710364,http://vocab.getty.edu/aat/300263845
Short,http://id.loc.gov/authorities/genreForms/gf2011026570,,http://id.worldcat.org/fast/1710364,,http://vocab.getty.edu/aat/300263846
Feature,http://id.loc.gov/authorities/genreForms/gf2011026247,,http://id.worldcat.org/fast/1710384,,http://vocab.getty.edu/aat/300263847
Excerpt,http://id.loc.gov/authorities/genreForms/gf2011026256,,http://id.worldcat.org/fast/1726130,,
Serial,http://id.loc.gov/authorities/genreForms/gf2011026260,,http://id.worldcat.org/fast/1726245,,http://vocab.getty.edu/aat/300266334
Action,http://id.loc.gov/authorities/genreForms/gf2011026005,,http://id.worldcat.org/fast/1710568,,
Adaptations,http://id.loc.gov/authorities/genreForms/gf2011026254,,http://id.worldcat.org/fast/1710491,,http://vocab.getty.edu/aat/300202501
Adventure,http://id.loc.gov/authorities/genreForms/gf2011026005,,http://id.worldcat.org/fast/1710568,,
