Value,URI,Label
English,http://www.lexvo.org/page/iso639-3/eng,English
French,http://www.lexvo.org/page/iso639-3/fra,French
Italian,http://www.lexvo.org/page/iso639-3/ita,Italian
Russian,http://www.lexvo.org/page/iso639-3/rus,Russian
Spanish,http://www.lexvo.org/page/iso639-3/spa,Spanish
Dioula,http://www.lexvo.org/page/iso639-3/dyu,Dyula
Peul,http://www.lexvo.org/page/iso639-3/ful,Fulah
Arabic,http://www.lexvo.org/page/iso639-3/ara,Arabic
Hebrew,http://www.lexvo.org/page/iso639-3/heb,Hebrew
Pashto,http://www.lexvo.org/page/iso639-3/pus,Pushto
Aramaic,http://www.lexvo.org/page/iso639-3/arc,Official Aramaic (700-300 BCE)
Latin,http://www.lexvo.org/page/iso639-3/lat,Latin
Armenian,http://www.lexvo.org/page/iso639-3/hye,Armenian
Azerbaijani,http://www.lexvo.org/page/iso639-3/aze,Azerbaijani
Georgian,http://www.lexvo.org/page/iso639-3/kat,Georgian
Bambara,http://www.lexvo.org/page/iso639-3/bam,Bambara
Bengali,http://www.lexvo.org/page/iso639-3/ben,Bengali
Bulgarian,http://www.lexvo.org/page/iso639-3/bul,Bulgarian
Cantonese,http://www.lexvo.org/page/iso639-3/yue,Yue Chinese
Catalan,http://www.lexvo.org/page/iso639-3/cat,Catalan
Chinese,http://www.lexvo.org/page/iso639-3/zho,Chinese
Croatian,http://www.lexvo.org/page/iso639-3/hrv,Croatian
Czech,http://www.lexvo.org/page/iso639-3/ces,Czech
Danish,http://www.lexvo.org/page/iso639-3/dan,Danish
Greenlandic,http://www.lexvo.org/page/iso639-3/kal,Kalaallisut
Swedish,http://www.lexvo.org/page/iso639-3/swe,Swedish
Dutch,http://www.lexvo.org/page/iso639-3/nld,Dutch
Ju/'hoan,http://www.lexvo.org/page/iso639-3/ktz,Ju/'hoan
Mandarin,http://www.lexvo.org/page/iso639-3/cmn,Mandarin Chinese
Gaelic,http://www.lexvo.org/page/iso639-3/gla,Scottish Gaelic
Japanese,http://www.lexvo.org/page/iso639-3/jpn,Japanese
Mende,http://www.lexvo.org/page/iso639-3/men,Mende (Sierra Leone)
Norwegian,http://www.lexvo.org/page/iso639-3/nor,Norwegian
Greek,http://www.lexvo.org/page/iso639-3/ell,Modern Greek (1453-)
Portuguese,http://www.lexvo.org/page/iso639-3/por,Portuguese
Serbo-Croatian,http://www.lexvo.org/page/iso639-3/hbs,Serbo-Croatian
Serbian,http://www.lexvo.org/page/iso639-3/srp,Serbian
Serbo croatian,http://www.lexvo.org/page/iso639-3/hbs,Serbo-Croatian
Serbo-Croatian,http://www.lexvo.org/page/iso639-3/hbs,Serbo-Croatian
Serbo/Croatian,http://www.lexvo.org/page/iso639-3/hbs,Serbo-Croatian
Sindarin,http://www.lexvo.org/page/iso639-3/sjn,Sindarin
Vietnamese,http://www.lexvo.org/page/iso639-3/vie,Vietnamese
Yiddish,http://www.lexvo.org/page/iso639-3/yid,Yiddish
Zulu,http://www.lexvo.org/page/iso639-3/zul,Zulu
Afrikaans,http://www.lexvo.org/page/iso639-3/afr,Afrikaans
Bosnian,http://www.lexvo.org/page/iso639-3/bos,Bosnian
Hopi,http://www.lexvo.org/page/iso639-3/hop,Hopi
Polish,http://www.lexvo.org/page/iso639-3/pol,Polish
