Name,ISNI,Name variants,Web page,Identity 1 name,Identity 1 ISNI,Identity 2 name,Identity 2 ISNI,Identity 3 name,Identity 3 ISNI,Notes
Anne Charlotte Robertson,http://isni.org/isni/0000000460275532,,,,,,,,,
Anne Robertson,http://isni.org/isni/0000000460275532,,,,,,,,,
Maya Deren,http://isni.org/isni/0000000109059154,,,,,,,,,
Maya Deren and Alexander Hamid,,,,Maya Deren,http://isni.org/isni/0000000109059154,Alexander Hamid,http://isni.org/isni/0000000360279392,,,
Alexander Hamid,http://isni.org/isni/0000000360279392,,,,,,,,,
Tony Conrad,http://isni.org/isni/000000007841188X,,"https://en.wikipedia.org/wiki/Tony_Conrad",,,,,,,"https://en.wikipedia.org/wiki/Tony_Conrad"
"Judith Wechsler, Jean-Paul Fargier",,,,Judith Wechsler,http://isni.org/isni/0000000084056415,Jean-Paul Fargier,http://isni.org/isni/0000000121171317,,,
Judith Wechsler,http://isni.org/isni/0000000084056415,,,,,,,,,
Jean-Paul Fargier,http://isni.org/isni/0000000121171317,,,,,,,,,
"Judith Wechsler, Richard Leacock",,,,Richard Leacock,http://isni.org/isni/000000011747805X,,,,,
Richard Leacock,http://isni.org/isni/000000011747805X,,,,,,,,,
Emily Benton Firth,http://isni.org/isni/0000000460227549,Emily Benton Frith,www.imdb.com/name/nm0072899/,,,,,,,"""Frith"", www.imdb.com/name/nm0072899/"
Sabrina Zamella Foresi,http://isni.org/isni/0000000377468309,"Zanella-Foresi, Sabrina",,,,,,,,"Zanella-Foresi, Sabrina"
Bertolt Brecht and Erich Engel,,,,Bertolt Brecht,http://isni.org/isni/0000000121178009,Erich Engel,http://isni.org/isni/000000010870836X,,,
"Bertolt Brecht, Erich Engel",,,,Bertolt Brecht,http://isni.org/isni/0000000121178009,Erich Engel,http://isni.org/isni/000000010870836X,,,
Erich Engel,http://isni.org/isni/000000010870836X,,,,,,,,,
Bertolt Brecht,http://isni.org/isni/0000000121178009,,,,,,,,,
Joan Micklin Silver,http://isni.org/isni/000000007825153X,,,,,,,,,
"[Art Clokey?]","http://isni.org/isni/0000000076889695","","","","","","","","",""
