HFA tag,LC genre/form 1,LC genre/form 2,LC genre/form 3,FAST form 1,FAST form 2,FAST form 3,Getty genre,New class
Serial,http://id.loc.gov/authorities/genreForms/gf2011026680,,,http://id.worldcat.org/fast/1710566,,,,
Action,http://id.loc.gov/authorities/genreForms/gf2011026006,,,http://id.worldcat.org/fast/1726304,,,,mi:ActionMovingImage
Adaptations,http://id.loc.gov/authorities/genreForms/gf2011026653,,,http://id.worldcat.org/fast/1710478,,,,
Adventure,http://id.loc.gov/authorities/genreForms/gf2011026006,,,http://id.worldcat.org/fast/1726304,,,,mi:AdventureMovingImage
Advertisement,http://id.loc.gov/authorities/genreForms/gf2011026655,,,http://id.worldcat.org/fast/1726182,,,,
Animation,http://id.loc.gov/authorities/genreForms/gf2011026050,,,http://id.worldcat.org/fast/1726128,,,,
Biographical,http://id.loc.gov/authorities/genreForms/gf2011026091,,,http://id.worldcat.org/fast/1726117,,,,
Children's,http://id.loc.gov/authorities/genreForms/gf2011026127,,,http://id.worldcat.org/fast/1920774,,,,
Comedy,http://id.worldcat.org/fast/1710440,,,http://id.worldcat.org/fast/1710440,,,,
Crime,http://id.loc.gov/authorities/genreForms/gf2011026658,,,http://id.worldcat.org/fast/1710490,,,,
Educational,http://id.loc.gov/authorities/genreForms/gf2014026114,,,,,,,
Erotica,http://id.loc.gov/authorities/genreForms/gf2011026228,,,http://id.worldcat.org/fast/1710303,,,,
Essay,http://id.loc.gov/authorities/genreForms/gf2011026590,,,http://id.worldcat.org/fast/1710453,,,,
Ethnographic,http://id.loc.gov/authorities/genreForms/gf2011026233,,,http://id.worldcat.org/fast/1710458,,,,
Fantasy,http://id.loc.gov/authorities/genreForms/gf2011026244,,,http://id.worldcat.org/fast/1710305,,,,
Historical drama,http://id.loc.gov/authorities/genreForms/gf2011026315,,,http://id.worldcat.org/fast/1726125,,,,
Horror,http://id.loc.gov/authorities/genreForms/gf2011026323,,,http://id.worldcat.org/fast/1710430,,,,
Industrial,http://id.loc.gov/authorities/genreForms/gf2011026330,,,http://id.worldcat.org/fast/1726169,,,,
Melodramas,http://id.loc.gov/authorities/genreForms/gf2011026664,,,http://id.worldcat.org/fast/1710567,,,,
Music video,http://id.loc.gov/authorities/genreForms/gf2011026413,,,http://id.worldcat.org/fast/1726176,,,,
Musical,http://id.loc.gov/authorities/genreForms/gf2011026666,,,http://id.worldcat.org/fast/1726206,,,,
Outtakes,http://id.loc.gov/authorities/genreForms/gf2011026435,,,http://id.worldcat.org/fast/1726136,,,,
Propaganda,http://id.loc.gov/authorities/genreForms/gf2011026473,,,http://id.worldcat.org/fast/1710357,,,,
Romance,http://id.loc.gov/authorities/genreForms/gf2011026544,,,http://id.worldcat.org/fast/1710333,,,,
Science fiction,http://id.loc.gov/authorities/genreForms/gf2011026558,,,http://id.worldcat.org/fast/1108632,,,,
Social critique,http://id.loc.gov/authorities/genreForms/gf2011026590,,,http://id.worldcat.org/fast/1710453,,,,
Suspense,http://id.loc.gov/authorities/genreForms/gf2011026694,,,http://id.worldcat.org/fast/1726194,,,,mi:SuspenseMovingImage
Trailer,http://id.loc.gov/authorities/genreForms/gf2011026263,,,http://id.worldcat.org/fast/1726183,,,,
War film,http://id.loc.gov/authorities/genreForms/gf2011026731,,,http://id.worldcat.org/fast/1710403,,,,
Western,http://id.loc.gov/authorities/genreForms/gf2011026737,,,http://id.worldcat.org/fast/1710412,,,,
Martial arts,http://id.loc.gov/authorities/genreForms/gf2011026389,,,http://id.worldcat.org/fast/1710570,,,,
Anti-war,http://id.loc.gov/authorities/genreForms/gf2011026731,,,http://id.worldcat.org/fast/1710403,,,,mi:AntiWarMovingImage
Detective and mystery,http://id.loc.gov/authorities/genreForms/gf2011026197,,,http://id.worldcat.org/fast/1710488,,,,mi:DetectiveMysteryMovingImage
Autobiographical,http://id.loc.gov/authorities/genreForms/gf2011026065,,,http://id.worldcat.org/fast/1710465,,,,
Instructional,http://id.loc.gov/authorities/genreForms/gf2011026335,,,http://id.worldcat.org/fast/1726126,,,,
Kinescope,http://id.loc.gov/authorities/genreForms/gf2011026786,,,http://id.worldcat.org/fast/1910788,,,,
Medical (non-fiction),http://id.loc.gov/authorities/genreForms/gf2011026392,http://id.loc.gov/authorities/genreForms/gf2011026425,,http://id.worldcat.org/fast/1726173,http://id.worldcat.org/fast/1710270,,,
Pornography,http://id.loc.gov/authorities/genreForms/gf2011026461,,,http://id.worldcat.org/fast/1726300,,,,
Science,http://id.loc.gov/authorities/genreForms/gf2011026558,,,http://id.worldcat.org/fast/1710394,,,,
Sponsored,http://id.loc.gov/authorities/genreForms/gf2011026600,,,http://id.worldcat.org/fast/1774313,,,,
Sports,http://id.loc.gov/authorities/genreForms/gf2011026603,,,http://id.worldcat.org/fast/1710571,,,,
Thriller,http://id.loc.gov/authorities/genreForms/gf2011026694,,,http://id.worldcat.org/fast/1726194,,,,
Travelogues,http://id.loc.gov/authorities/genreForms/gf2011026706,,,http://id.worldcat.org/fast/1726196,,,,
Dance,http://id.worldcat.org/fast/1726284,,,http://id.worldcat.org/fast/1726284,,,,
Serial,http://id.loc.gov/authorities/genreForms/gf2011026680,,,http://id.worldcat.org/fast/1710566,,,,
Cameraless,http://id.loc.gov/authorities/genreForms/gf2011026107,,,http://id.worldcat.org/fast/1726187,,,,
